# x	y	u	v	flags	mask
2.5901e-01	5.0456e+00	5.2206e-01	4.2817e-01	0.0000e+00	0.0000e+00
4.7659e-01	5.0456e+00	5.7446e-01	4.0659e-01	0.0000e+00	0.0000e+00
6.9416e-01	5.0456e+00	6.1266e-01	3.9430e-01	0.0000e+00	0.0000e+00
9.1173e-01	5.0456e+00	6.2663e-01	3.7016e-01	0.0000e+00	0.0000e+00
1.1293e+00	5.0456e+00	6.9917e-01	3.0835e-01	0.0000e+00	0.0000e+00
1.3469e+00	5.0456e+00	7.0803e-01	2.1863e-01	0.0000e+00	0.0000e+00
1.5644e+00	5.0456e+00	7.3314e-01	1.5164e-01	0.0000e+00	0.0000e+00
1.7820e+00	5.0456e+00	7.5218e-01	1.0271e-01	0.0000e+00	0.0000e+00
1.9996e+00	5.0456e+00	7.4103e-01	3.8271e-02	0.0000e+00	0.0000e+00
2.2172e+00	5.0456e+00	7.1766e-01	-3.4105e-02	0.0000e+00	0.0000e+00
2.4347e+00	5.0456e+00	6.7250e-01	-1.1385e-01	0.0000e+00	0.0000e+00
2.6523e+00	5.0456e+00	6.3900e-01	-1.5458e-01	0.0000e+00	0.0000e+00
2.8699e+00	5.0456e+00	5.8780e-01	-2.1181e-01	0.0000e+00	0.0000e+00
3.0874e+00	5.0456e+00	5.6258e-01	-2.8131e-01	0.0000e+00	0.0000e+00
3.3050e+00	5.0456e+00	5.1456e-01	-3.2066e-01	0.0000e+00	0.0000e+00
3.5226e+00	5.0456e+00	4.8768e-01	-3.3481e-01	0.0000e+00	0.0000e+00
3.7402e+00	5.0456e+00	4.3137e-01	-3.8138e-01	0.0000e+00	0.0000e+00
3.9577e+00	5.0456e+00	3.9193e-01	-3.8621e-01	0.0000e+00	0.0000e+00
4.1753e+00	5.0456e+00	3.5968e-01	-3.8642e-01	0.0000e+00	0.0000e+00
4.3929e+00	5.0456e+00	3.3428e-01	-3.9521e-01	0.0000e+00	0.0000e+00
4.6104e+00	5.0456e+00	2.6928e-01	-3.8762e-01	0.0000e+00	0.0000e+00
4.8280e+00	5.0456e+00	2.5797e-01	-3.7925e-01	0.0000e+00	0.0000e+00
5.0456e+00	5.0456e+00	2.0149e-01	-3.7671e-01	0.0000e+00	0.0000e+00
2.5901e-01	4.8280e+00	5.3771e-01	4.7002e-01	0.0000e+00	0.0000e+00
4.7659e-01	4.8280e+00	5.8457e-01	4.5703e-01	0.0000e+00	0.0000e+00
6.9416e-01	4.8280e+00	6.0503e-01	4.5669e-01	0.0000e+00	0.0000e+00
9.1173e-01	4.8280e+00	6.7810e-01	4.1348e-01	0.0000e+00	0.0000e+00
1.1293e+00	4.8280e+00	7.4962e-01	3.6678e-01	0.0000e+00	0.0000e+00
1.3469e+00	4.8280e+00	7.6033e-01	3.1500e-01	0.0000e+00	0.0000e+00
1.5644e+00	4.8280e+00	8.6741e-01	1.8098e-01	0.0000e+00	0.0000e+00
1.7820e+00	4.8280e+00	8.5858e-01	9.8459e-02	0.0000e+00	0.0000e+00
1.9996e+00	4.8280e+00	8.4762e-01	2.5239e-02	0.0000e+00	0.0000e+00
2.2172e+00	4.8280e+00	8.4019e-01	-4.2618e-02	0.0000e+00	0.0000e+00
2.4347e+00	4.8280e+00	7.6335e-01	-1.2460e-01	0.0000e+00	0.0000e+00
2.6523e+00	4.8280e+00	6.9900e-01	-2.2370e-01	0.0000e+00	0.0000e+00
2.8699e+00	4.8280e+00	6.5670e-01	-2.7161e-01	0.0000e+00	0.0000e+00
3.0874e+00	4.8280e+00	6.0638e-01	-3.2366e-01	0.0000e+00	0.0000e+00
3.3050e+00	4.8280e+00	5.5249e-01	-3.6188e-01	0.0000e+00	0.0000e+00
3.5226e+00	4.8280e+00	4.7786e-01	-3.8838e-01	0.0000e+00	0.0000e+00
3.7402e+00	4.8280e+00	4.3809e-01	-4.1647e-01	0.0000e+00	0.0000e+00
3.9577e+00	4.8280e+00	3.9227e-01	-4.2181e-01	0.0000e+00	0.0000e+00
4.1753e+00	4.8280e+00	3.4573e-01	-4.3640e-01	0.0000e+00	0.0000e+00
4.3929e+00	4.8280e+00	3.2674e-01	-4.4147e-01	0.0000e+00	0.0000e+00
4.6104e+00	4.8280e+00	2.8205e-01	-4.4993e-01	1.0000e+00	0.0000e+00
4.8280e+00	4.8280e+00	2.4857e-01	-4.1300e-01	0.0000e+00	0.0000e+00
5.0456e+00	4.8280e+00	1.9968e-01	-4.1444e-01	0.0000e+00	0.0000e+00
2.5901e-01	4.6104e+00	5.2606e-01	5.2861e-01	0.0000e+00	0.0000e+00
4.7659e-01	4.6104e+00	5.9352e-01	5.1544e-01	0.0000e+00	0.0000e+00
6.9416e-01	4.6104e+00	6.0992e-01	4.8408e-01	0.0000e+00	0.0000e+00
9.1173e-01	4.6104e+00	7.2128e-01	4.6505e-01	0.0000e+00	0.0000e+00
1.1293e+00	4.6104e+00	8.4329e-01	4.2592e-01	0.0000e+00	0.0000e+00
1.3469e+00	4.6104e+00	8.9433e-01	3.7152e-01	0.0000e+00	0.0000e+00
1.5644e+00	4.6104e+00	9.6257e-01	2.5285e-01	0.0000e+00	0.0000e+00
1.7820e+00	4.6104e+00	9.7442e-01	1.1267e-01	0.0000e+00	0.0000e+00
1.9996e+00	4.6104e+00	9.5651e-01	2.9397e-02	0.0000e+00	0.0000e+00
2.2172e+00	4.6104e+00	9.2822e-01	-7.0181e-02	0.0000e+00	0.0000e+00
2.4347e+00	4.6104e+00	8.4524e-01	-1.5867e-01	0.0000e+00	0.0000e+00
2.6523e+00	4.6104e+00	7.5497e-01	-2.6097e-01	0.0000e+00	0.0000e+00
2.8699e+00	4.6104e+00	6.8157e-01	-3.6724e-01	0.0000e+00	0.0000e+00
3.0874e+00	4.6104e+00	6.2974e-01	-4.0124e-01	0.0000e+00	0.0000e+00
3.3050e+00	4.6104e+00	5.6159e-01	-4.3912e-01	0.0000e+00	0.0000e+00
